,,75,750,7500,7501,7502,7503,7504,7505,7507,751,7510,7511,7512,752,7520,44,440,4400,4401,4402,4403,4404,4405,441,4410,4411,4412,4413,4414,4415,442,4420,4421,443,4430,4431,VI.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PREJETA MINUS DANA POSOJILA IN SPREMEMBE KAPITALSKIH DELEŽEV
(IV - V)"
,,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,
,,750+751+752,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,KUPNINE IZ NASLOVA PRIVATIZACIJE,KUPNINE IZ NASLOVA PRIVATIZACIJE,440+441+442+443,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,"POVEČANJE NAMENSKEGA PREMOŽENJA V JAVNIH SKLADIH IN DRUGIH PRAVNIH OSEBAH JAVNEGA PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI","POVEČANJE NAMENSKEGA PREMOŽENJA V JAVNIH SKLADIH IN DRUGIH PRAVNIH OSEBAH JAVNEGA PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI","POVEČANJE NAMENSKEGA PREMOŽENJA V JAVNIH SKLADIH IN DRUGIH PRAVNIH OSEBAH JAVNEGA PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI",
,- v EUR,,,Prejeta vračila danih posojil - od posameznikov,Prejeta vračila danih posojil - od javnih skladov,Prejeta vračila danih posojil - od javnih podjetij,Prejeta vračila danih posojil - od finančnih institucij,Prejeta vračila danih posojil - od privatnih podjetij in zasebnikov,Prejeta vračila danih posojil - od drugih ravni države (drugih lokalnih skupnosti in ožjih delov lokalnih skupnosti),Prejeta vračila danih posojil - državnemu proračunu,,"Sredstva, pridobljena s prodajo kapitalskih deležev v javnih podjetjih ","Sredstva, pridobljena s prodajo kapitalskih deležev v finančnih institucijah","Sredstva, pridobljena s prodajo kapitalskih deležev v privatnih podjetjih",,Sredstva kupnin iz naslova privatizacije (kupnine od stanovanj),,,Dana posojila posameznikom,Dana posojila javnim skladom,Dana posojila javnim podjetjem,Dana posojila finančnim institucijam,Dana posojila privatnim podjetjem in zasebnikom,Dana posojila drugim ravnem države (drugim lokalnim skupnostim in ožjim delom lokalnih skupnosti),,Povečanje kapitalskih deležev v javnih podjetjih,Povečanje kapitalskih deležev v finančnih institucijah,Povečanje kapitalskih deležev v privatnih podjetjih,Skupna vlaganja (joint ventures),Povečanje kapitalskih deležev v tujino,Povečanje drugih finančnih naložb,,Dana posojila iz sredstev kupnin,"Sredstva kupnin, razporejena v javne sklade in agencije",,Povečanje namenskega premoženja v javnih skladih,"Povečanje premoženja v drugih pravnih osebah javnega prava, ki je v njihovi lasti",
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2.,BELTINCI,8.805 ,8.805 ,0 ,0 ,0 ,4.632 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.101 ,16.101 ,0 ,0 ,0 ,0 ,16.101 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.296 
3.,BENEDIKT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
4.,BISTRICA OB SOTLI,54.231 ,54.231 ,818 ,0 ,0 ,53.413 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,87.631 ,87.631 ,4.173 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-33.400 
